xaxis	yaxis	Freq	Prop
CD8 TEM	Platelet	0	0
MAIT	Platelet	0	0
NK	Platelet	0	0
Platelet	Platelet	1	1
Treg	Platelet	0	0
cDC1	Platelet	0	0
cDC2	Platelet	0	0
dnT	Platelet	0	0
gdT	Platelet	0	0
pDC	Platelet	0	0
B intermediate	Treg	0	0
B memory	Treg	1	0.0256410256410256
B naive	Treg	0	0
CD14 Mono	Treg	0	0
CD16 Mono	Treg	0	0
CD4 CTL	Treg	0	0
CD4 Naive	Treg	0	0
CD4 TCM	Treg	8	0.0308880308880309
CD4 TEM	Treg	0	0
CD8 Naive	Treg	0	0
CD8 TCM	Treg	0	0
CD8 TEM	Treg	0	0
MAIT	Treg	0	0
NK	Treg	2	0.0151515151515152
Platelet	Treg	0	0
Treg	Treg	11	0.578947368421053
cDC1	Treg	0	0
cDC2	Treg	0	0
dnT	Treg	0	0
gdT	Treg	0	0
pDC	Treg	0	0
B intermediate	cDC1	0	0
B memory	cDC1	0	0
B naive	cDC1	0	0
CD14 Mono	cDC1	0	0
CD16 Mono	cDC1	0	0
CD4 CTL	cDC1	0	0
CD4 Naive	cDC1	0	0
CD4 TCM	cDC1	0	0
CD4 TEM	cDC1	0	0
CD8 Naive	cDC1	0	0
CD8 TCM	cDC1	0	0
CD8 TEM	cDC1	0	0
MAIT	cDC1	0	0
NK	cDC1	0	0
Platelet	cDC1	0	0
Treg	cDC1	0	0
cDC1	cDC1	1	1
cDC2	cDC1	0	0
dnT	cDC1	0	0
gdT	cDC1	0	0
pDC	cDC1	0	0
B intermediate	cDC2	0	0
B memory	cDC2	0	0
B naive	cDC2	0	0
CD14 Mono	cDC2	1	0.015625
CD16 Mono	cDC2	0	0
CD4 CTL	cDC2	0	0
CD4 Naive	cDC2	0	0
CD4 TCM	cDC2	0	0
CD4 TEM	cDC2	0	0
CD8 Naive	cDC2	0	0
CD8 TCM	cDC2	0	0
CD8 TEM	cDC2	0	0
MAIT	cDC2	0	0
NK	cDC2	0	0
Platelet	cDC2	0	0
Treg	cDC2	0	0
cDC1	cDC2	0	0
cDC2	cDC2	1	0.5
dnT	cDC2	0	0
gdT	cDC2	0	0
pDC	cDC2	4	0.666666666666667
B intermediate	dnT	0	0
B memory	dnT	0	0
B naive	dnT	0	0
CD14 Mono	dnT	0	0
CD16 Mono	dnT	0	0
CD4 CTL	dnT	0	0
CD4 Naive	dnT	0	0
CD4 TCM	dnT	0	0
CD4 TEM	dnT	0	0
CD8 Naive	dnT	0	0
CD8 TCM	dnT	0	0
CD8 TEM	dnT	0	0
MAIT	dnT	0	0
NK	dnT	0	0
Platelet	dnT	0	0
Treg	dnT	0	0
cDC1	dnT	0	0
cDC2	dnT	0	0
dnT	dnT	2	0.666666666666667
gdT	dnT	0	0
pDC	dnT	0	0
B intermediate	gdT	0	0
B memory	gdT	0	0
B naive	gdT	0	0
CD14 Mono	gdT	0	0
CD16 Mono	gdT	0	0
CD4 CTL	gdT	0	0
CD4 Naive	gdT	0	0
CD4 TCM	gdT	0	0
CD4 TEM	gdT	0	0
CD8 Naive	gdT	0	0
CD8 TCM	gdT	0	0
CD8 TEM	gdT	1	0.00476190476190476
MAIT	gdT	0	0
NK	gdT	4	0.0303030303030303
Platelet	gdT	0	0
Treg	gdT	0	0
cDC1	gdT	0	0
cDC2	gdT	0	0
dnT	gdT	0	0
gdT	gdT	0	0
pDC	gdT	0	0
B intermediate	pDC	0	0
B memory	pDC	0	0
B naive	pDC	0	0
CD14 Mono	pDC	0	0
CD16 Mono	pDC	0	0
CD4 CTL	pDC	0	0
CD4 Naive	pDC	0	0
CD4 TCM	pDC	0	0
CD4 TEM	pDC	0	0
CD8 Naive	pDC	0	0
CD8 TCM	pDC	0	0
CD8 TEM	pDC	0	0
MAIT	pDC	0	0
NK	pDC	0	0
Platelet	pDC	0	0
Treg	pDC	0	0
cDC1	pDC	0	0
cDC2	pDC	0	0
dnT	pDC	0	0
gdT	pDC	0	0
pDC	pDC	2	0.333333333333333
